﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Undersøgelsesmetode;Undersøgelsesniveau;Søtype/Sønaturtype;Teknisk anvisning;Dataejer;Link;Transekt nummer;Transekt navn;Transekt-start, GeoZone;Transekt-start, x-koordinat;Transekt-start, y-koordinat;Transekt-slut, GeoZone;Transekt-slut, x-koordinat;Transekt-slut, y-koordinat;Punkt nummer;Punkt, GeoZone;Punkt, x-koordinat;Punkt, y-koordinat;Aktivitetssted;Aktiv;Dybde (cm);Arts tom;Taxonkode;Artkode;Art latin;Art;Dækningsgrad;Undervandsplanter, dækningsgrad;Undervandsplanter, gennemsnitshøjde;Trådalger, dækningsgrad;Kvalitetsmærke
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;7;Transektnr 15;32;665545;6065437;32;666189;6065448;6;32;665833;6065441;7_6;Ja;210;Nej;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;2 - 6-25 %;5 - 76-95 %;60;2 - 6-25 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;4;Transektnr 12;32;665344;6066233;32;666067;6066246;6;32;665784;6066240;4_6;Ja;190;Nej;2900500030810;6473;Potamogeton pusillus;Spinkel vandaks;1 - 1-5 %;1 - 1-5 %;30;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;05-07-2010;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c5eb5e88-654c-4758-925b-df54851c47e1;5;Transektnr 13;32;665158;6065982;32;665842;6065995;1;32;665158;6065982;5_1;Ja;140;Nej;2503550030030;2394;Ceratophyllum demersum;Tornfrøet hornblad;2 - 6-25 %;2 - 6-25 %;30;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;14;Transektnr 8;32;666218;6067608;32;666223;6067270;4;32;666218;6067560;14_4;Ja;150;Nej;1601010100000;77;Chara;Kransnålealgeslægten;2 - 6-25 %;5 - 76-95 %;30;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;7;Transektnr 15;32;665545;6065437;32;666189;6065448;11;32;666171;6065447;7_11;Ja;70;Nej;1601010101300;92;Chara vulgaris;Almindelig kransnål;1 - 1-5 %;4 - 51-75 %;50;2 - 6-25 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;6;Transektnr 14;32;665315;6065730;32;666065;6065744;9;32;665960;6065742;6_9;Ja;140;Nej;2900500030810;6473;Potamogeton pusillus;Spinkel vandaks;1 - 1-5 %;1 - 1-5 %;30;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;5;Transektnr 13;32;665158;6065982;32;665842;6065995;6;32;665625;6065991;5_6;Ja;160;Nej;2503550030030;2394;Ceratophyllum demersum;Tornfrøet hornblad;2 - 6-25 %;5 - 76-95 %;70;0 - 0 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;14;Transektnr 8;32;666218;6067608;32;666223;6067270;1;32;666218;6067608;14_1;Ja;30;Nej;1601010101300;92;Chara vulgaris;Almindelig kransnål;2 - 6-25 %;3 - 26-50 %;20;2 - 6-25 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;6;Transektnr 14;32;665315;6065730;32;666065;6065744;7;32;665834;6065740;6_7;Ja;140;Nej;2900700030030;6518;Najas marina;Stor najade;2 - 6-25 %;2 - 6-25 %;30;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;05-07-2010;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c5eb5e88-654c-4758-925b-df54851c47e1;9;Transektnr 3;32;664809;6067902;32;664829;6067421;5;32;664828;6067465;9_5;Ja;130;Nej;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;1 - 1-5 %;2 - 6-25 %;40;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;10;Transektnr 4;32;665092;6067931;32;665119;6067314;6;32;665117;6067337;10_6;Ja;230;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;5;Transektnr 13;32;665158;6065982;32;665842;6065995;6;32;665625;6065991;5_6;Ja;160;Nej;2503550030030;2394;Ceratophyllum demersum;Tornfrøet hornblad;1 - 1-5 %;1 - 1-5 %;40;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;1;Transektnr 1;32;664244;6067539;32;664254;6067318;3;32;664247;6067479;1_3;Ja;50;Nej;2900700030030;6518;Najas marina;Stor najade;3 - 26-50 %;3 - 26-50 %;30;2 - 6-25 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;14;Transektnr 8;32;666218;6067608;32;666223;6067270;4;32;666215;6067554;14_4;Ja;135;Nej;2900700030030;6518;Najas marina;Stor najade;6 - 96-100 %;6 - 96-100 %;25;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;7;Transektnr 15;32;665545;6065437;32;666189;6065448;11;32;666171;6065447;7_11;Ja;70;Nej;300000900000;8;Trådalger;Trådalger;2 - 6-25 %;4 - 51-75 %;50;2 - 6-25 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;6;Transektnr 14;32;665315;6065730;32;666065;6065744;12;32;666065;6065744;6_12;Ja;30;Nej;2503550030030;2394;Ceratophyllum demersum;Tornfrøet hornblad;1 - 1-5 %;1 - 1-5 %;50;1 - 1-5 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;8;Transektnr 2;32;664565;6067679;32;664573;6067437;4;32;664565;6067606;8_4;Ja;70;Nej;300000900000;8;Trådalger;Trådalger;2 - 6-25 %;5 - 76-95 %;30;2 - 6-25 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;4;Transektnr 12;32;665344;6066233;32;666067;6066246;4;32;665510;6066236;4_4;Ja;120;Nej;1601010100800;84;Chara globularis;Skør kransnål;2 - 6-25 %;5 - 76-95 %;30;2 - 6-25 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;12;Transektnr 6;32;665651;6067590;32;665660;6067166;9;32;665658;6067227;12_9;Ja;135;Nej;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;1 - 1-5 %;3 - 26-50 %;30;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-07-2016;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3100 - Andet;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9564b861-2d9a-4b77-8c33-c5d69f7d6df9;5;Transektnr 13;32;665158;6065982;32;665842;6065995;2;32;665302;6065985;5_2;Ja;110;Nej;2900700030030;6518;Najas marina;Stor najade;6 - 96-100 %;6 - 96-100 %;30;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;05-07-2010;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c5eb5e88-654c-4758-925b-df54851c47e1;7;Transektnr 15;32;665545;6065437;32;666189;6065448;2;32;665576;6065438;7_2;Ja;150;Nej;1601010101303;95;Chara vulgaris var. contraria;Buttornet kransnål;2 - 6-25 %;6 - 96-100 %;60;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;14;Transektnr 8;32;666218;6067608;32;666223;6067270;7;32;666223;6067307;14_7;Ja;160;Nej;2900700030030;6518;Najas marina;Stor najade;2 - 6-25 %;5 - 76-95 %;20;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;6;Transektnr 14;32;665315;6065730;32;666065;6065744;7;32;665834;6065740;6_7;Ja;165;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;1;Transektnr 1;32;664244;6067539;32;664254;6067318;8;32;664252;6067359;1_8;Ja;20;Nej;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;1 - 1-5 %;2 - 6-25 %;10;1 - 1-5 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;5;Transektnr 13;32;665158;6065982;32;665842;6065995;7;32;665759;6065993;5_7;Ja;140;Nej;2503550030030;2394;Ceratophyllum demersum;Tornfrøet hornblad;2 - 6-25 %;5 - 76-95 %;60;0 - 0 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;3;Transektnr 11;32;665279;6066541;32;665973;6066553;7;32;665686;6066550;3_7;Ja;140;Nej;1601010101300;92;Chara vulgaris;Almindelig kransnål;6 - 96-100 %;6 - 96-100 %;40;0 - 0 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;13;Transektnr 7;32;665898;6067531;32;665902;6067308;5;32;665899;6067414;13_5;Ja;150;Nej;1601010100000;77;Chara;Kransnålealgeslægten;2 - 6-25 %;6 - 96-100 %;30;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;15;Transektnr 9;32;665306;6067082;32;665648;6067089;6;32;665509;6067087;15_6;Ja;115;Nej;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;1 - 1-5 %;6 - 96-100 %;15;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;3;Transektnr 11;32;665279;6066541;32;665973;6066553;1;32;665279;6066541;3_1;Ja;120;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;2;Transektnr 10;32;665283;6066784;32;665665;6066792;9;32;665651;6066792;2_9;Ja;150;Nej;2900700030030;6518;Najas marina;Stor najade;4 - 51-75 %;4 - 51-75 %;20;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;05-07-2010;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c5eb5e88-654c-4758-925b-df54851c47e1;10;Transektnr 4;32;665092;6067931;32;665119;6067314;9;32;665118;6067319;10_9;Ja;150;Nej;2900700030030;6518;Najas marina;Stor najade;3 - 26-50 %;3 - 26-50 %;15;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;11;Transektnr 5;32;665370;6067635;32;665380;6067205;5;32;665373;6067466;11_5;Ja;125;Nej;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;2 - 6-25 %;6 - 96-100 %;30;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;05-07-2010;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c5eb5e88-654c-4758-925b-df54851c47e1;10;Transektnr 4;32;665092;6067931;32;665119;6067314;10;32;665119;6067314;10_10;Ja;150;Nej;2900700030030;6518;Najas marina;Stor najade;4 - 51-75 %;4 - 51-75 %;15;1 - 1-5 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;10;Transektnr 4;32;665092;6067931;32;665119;6067314;3;32;665098;6067760;10_3;Ja;105;Nej;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;1 - 1-5 %;3 - 26-50 %;8;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;3;Transektnr 11;32;665279;6066541;32;665973;6066553;2;32;665337;6066542;3_2;Ja;120;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;9;Transektnr 3;32;664809;6067902;32;664829;6067421;5;32;664824;6067559;9_5;Ja;160;Nej;2900700030030;6518;Najas marina;Stor najade;3 - 26-50 %;3 - 26-50 %;30;0 - 0 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;3;Transektnr 11;32;665279;6066541;32;665973;6066553;8;32;665825;6066552;3_8;Ja;120;Nej;2900700030030;6518;Najas marina;Stor najade;1 - 1-5 %;2 - 6-25 %;30;0 - 0 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;13;Transektnr 7;32;665898;6067531;32;665902;6067308;5;32;665899;6067414;13_5;Ja;145;Nej;2900700030030;6518;Najas marina;Stor najade;5 - 76-95 %;5 - 76-95 %;30;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;6;Transektnr 14;32;665315;6065730;32;666065;6065744;11;32;666038;6065744;6_11;Ja;120;Nej;1601010100800;84;Chara globularis;Skør kransnål;2 - 6-25 %;4 - 51-75 %;20;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;7;Transektnr 15;32;665545;6065437;32;666189;6065448;5;32;665773;6065441;7_5;Ja;210;Nej;2900500030810;6473;Potamogeton pusillus;Spinkel vandaks;2 - 6-25 %;5 - 76-95 %;80;2 - 6-25 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;05-07-2010;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c5eb5e88-654c-4758-925b-df54851c47e1;7;Transektnr 15;32;665545;6065437;32;666189;6065448;5;32;665773;6065441;7_5;Ja;130;Nej;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;1 - 1-5 %;6 - 96-100 %;50;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;4;Transektnr 12;32;665344;6066233;32;666067;6066246;10;32;666067;6066246;4_10;Ja;30;Nej;2503550030030;2394;Ceratophyllum demersum;Tornfrøet hornblad;2 - 6-25 %;4 - 51-75 %;10;2 - 6-25 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;4;Transektnr 12;32;665344;6066233;32;666067;6066246;1;32;665344;6066233;4_1;Ja;110;Nej;2900700030030;6518;Najas marina;Stor najade;1 - 1-5 %;1 - 1-5 %;10;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;17-08-2004;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/c14cfcae-3e38-4458-8605-c8f50bc49607;10;Transektnr 4;32;665092;6067931;32;665119;6067314;8;32;665118;6067325;10_8;Ja;130;Ja;;;;;;0 - 0 %;0;0 - 0 %;3
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;18-07-2022;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3140 - Kransnålalgesø;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ef673f4-bd25-4dee-8d87-7ef9baca1e53;4;Transektnr 12;32;665344;6066233;32;666067;6066246;7;32;665863;6066242;4_7;Ja;175;Nej;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;2 - 6-25 %;3 - 26-50 %;15;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;7;Transektnr 15;32;665545;6065437;32;666189;6065448;5;32;665773;6065441;7_5;Ja;120;Nej;2900700030030;6518;Najas marina;Stor najade;1 - 1-5 %;4 - 51-75 %;40;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;14-07-2016;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;3100 - Andet;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9564b861-2d9a-4b77-8c33-c5d69f7d6df9;1;Transektnr 1;32;664244;6067539;32;664254;6067318;7;32;664252;6067359;1_7;Ja;10;Nej;2900500040380;6495;Stuckenia pectinata;Børstebladet vandaks;1 - 1-5 %;2 - 6-25 %;10;0 - 0 %;2
Station;64000032;Røgbølle Sø – Hele søen;32;666003;6065651;Guldborgsund;Region Sjælland;Sø;Røgbøllesø;10-07-2007;1;Vegetation, Sø;Transekt/punktundersøgelse;Ekstensiv;0 - Ikke oplyst;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7ba65e16-05be-4964-9c02-789c95418726;9;Transektnr 3;32;664809;6067902;32;664829;6067421;1;32;664809;6067902;9_1;Ja;130;Ja;;;;;;0 - 0 %;0;0 - 0 %;2
